File_Name,File_Size,Link
GMT20200724-062645_Pratishtha_1428x720.mp4,153 MB,https://ixznag.dm.files.1drv.com/y4mCtOWFnK6iXlpJWAcFPZ54SS4rwVm0mql6Dg-RWGQFQf3_1Fw8PpeJ8rRYxKlehl0mpknuX5JZRwMilOzOERckjGPBgIycPpalPwrii7mh2SeZFUmabsrJOjKuKeo4KCk6-oZoejek3nruF_2G0gsxGYxETd5Ar459CImNcpeglG6fEI0CX2PSaawmyZeyk-5ifX8ZSL_UTO6rVq4q9R4xw?
GMT20200117-121328_Achal-Shah_1686x768.mp4,153 MB,https://ixznag.dm.files.1drv.com/y4m4-RA7eXgEX8yPXycDDN8DeI0ZDw5mv2gthSpDf4_BMqoSU3u0GjFBN-kcly06DGa3WX_ejntH3HuF_bL3MUVsyuuXsCpdm5tck4hwWAw6j9pYbjaxuyB-Jvvr-ArOkymCoAnYLLyNF5FL3NfXU2PbV4fDN19pdQ6vByqF0xb2P7hPAgRqF_gMvcVmMNmEWfcR-3G4jZSzp0rb-iSCtYH7Q?
GMT20201212-122932_Shreya-Upa_1920x928.mp4,154 MB,https://ixznag.dm.files.1drv.com/y4mgJwXZXp6HIHfQH74_2U1gFvQVNLKvnfmkk3gFkmzu3chRecLWsfBGZid6XrNdmumCNjK-6S2CV7cYPoar0y-GZ6Xnry0i7Y34_qJmvkjFqSybk03DvcW3aNWswC5qr5_MK83ucoaZ8TGN3ftnf43OHPuUljVEiv00yBywt3YTboU3Ni-s24JKf6thTO8JZgP2Osj7OOyG3Z2cV0Irxvzpw?
GMT20200417-081911_Hitesh-Pas_1920x992.mp4,154 MB,https://ixznag.dm.files.1drv.com/y4mW9xPFdUAfDGi_QjXTzbuqaMB-h5DNvReWiw9ygbV_SMMX75MBHc0jb1mUk0xCu2L08f8mKxaEC9S5xd7uqoENHA8B2spoQ1oagS9wxX2S64maEU1cvuhFyNhkcsFJdRjJ1YqKH9AB2e9y7BOMAIJSK59rAp3TMnH--JmbG-fKCCsHeDUtX7Z8bKDIseMaNyrVi_EGwASbYgHHGig82Vtpw?
GMT20190916-105943_S-W-Dubai-_640x360.mp4,154 MB,https://ixznag.dm.files.1drv.com/y4mK0e4Mck2MXfQ7iF3djvpdF31lVwxTDMUv7uoH1GK8WzkrTwrxtcBHjeMH-XoDSjsOwnaCMiFKDCMVsFe0KCiDaE06ddsvuK7tPUSAl4APY415ELAF301sftxvzF-w26OURIrHVXRRuFsgsPTxk99PfrQaDikfSTOgzvnHaB2PZ3CyNIFzZdMN7YbweisIBUKngFwi1rLYLkRNNfq2ZCkNw?
GMT20200505-113111_Shreya-Upa_1920x1020.mp4,155 MB,https://ixznag.dm.files.1drv.com/y4mapzmbrukprLxqPxRxwpmj5pdmmRcZB9Yn3YTp_lFJjAaMJ8voO6g4g9dD7JY0-y1OslwoGBuMBHFV1AMrxEg9J_bRIiecuMntIjW_msf4NqF1YECMTJdav1RZ1tvO7VzEeUxVO2ePBCL6ObG3cp1qEPww457pxlmxuI24DOXoUxjFwkKz6mQppkWyFoNf4CLhxS8QlY9MjfjOaT4JumZnQ?
GMT20200131-095039_Megha-Coac_1686x720.mp4,155 MB,https://ixznag.dm.files.1drv.com/y4mi6O0if5Lvx-lxB10cadsXGfq-PAazarhjcZPqnVR4lSWc5csghfIga1LtmcrAA5SCsS3Sx2nHua8fVyWfzUcNk9e3aRDrIZVHN50YRWx9M5JOOHNJDLKXJrJIN5xn3nMqfAwIkMGeU3_nclOoSz_vkOQk-jTS32j-1pXIdnPHug1Z0Rcin4UqqGo4rykei0Q1vhaRh3jQ9lroTIESJYZ7w?
GMT20200721-055536_Hirendra_A_1686x728.mp4,156 MB,https://ixznag.dm.files.1drv.com/y4mIRpvJcS0--dheaPV4pfB5nu2qvgBbc3LDVOqeNhLmOozB72Db233-2m2FvuJm62tOh3IFt9zML1AY1FeZc2s35Q2vvZ9G61Tab8DrpncKYbBEqOvA2qMXED-nzSwsOycimg5bXdOB9MA9qPbmj7gtSUOcPZTEb0ZbcevFZUilyhQIxRSF4tyJJ7tfP_QEH_mN3tKGLcl9N9Pi_3dKrzjgQ?
GMT20200208-055748_Abhishek_D_640x360.mp4,156 MB,https://ixznag.dm.files.1drv.com/y4m0ZED7knOJGiDSC9FcsFTTyhub0xaQ5mDtrRYZDHoHoDIdJxYLwisbt1OYHpF2b79_Pg6f6HHNLh1sLF7Z4X6rjJBqv988e8HVUEWJQl6YhkHzaRV_w9-XH6Rv0tJ0cxPQyy-6YCdllpJZQH99u3rmcd-shYdoKjITy4AVKDaYDLSwjURQTeP4oxtAoIv1baCgXNhF5z9VwW3eA1smC4YZA?
GMT20200909-043710_Achal-Shah_1920x1024.mp4,156 MB,https://gisorw.dm.files.1drv.com/y4mvBfQYkrTCV_KPpf9A6vhT0R3b-XB92jHnlO9x2qjOeA2wNgAln_IZehUH4cIeIa6qjERfjyni_S5oWQJB3LjH4yDoWvdrVOcBpeqVukMUH-vdSJ7PrfcrYctZOgFIB8wMSzCJwb9RboU4dyJffNAme2nig4aKGgfpinJ3TKJbGOr397xaOzdj-j6AXeNDLZSua8fqc7YHRuEdfBUVRA6vA?
